timestamp,count_audit_create_table,count_audit_grant,count_audit_insert,count_audit_select,count_connect_authorized,count_connect_received,count_detail,count_disconnect,count_error,count_fatal,count_log,count_statement,avg_session_duration,max_session_duration,total_session_time,ratio_fatal_to_total,anomaly_score,anomaly
2025-10-04 20:55:00+07:00,-0.0129837286001144,-0.0129837286001144,-0.0129837286001144,-0.0365567985539104,12.91968712466807,13.949678417752311,11.559720557261482,13.898716266242266,-0.0318169218754922,10.659761582480614,9.298411347488557,-0.0318169218754922,-0.0253327543945566,-0.037294326363096,-0.0379935814333818,14.809274950024214,-0.16738399420622885,-1
2025-10-04 21:00:00+07:00,-0.0129837286001144,-0.0129837286001144,-0.0129837286001144,-0.0365567985539104,25.912370956069104,44.32758644990596,69.47057259325943,18.55700818848921,-0.0318169218754922,64.08463526794901,24.13173547247925,-0.0318169218754922,-0.0253776363775699,-0.0356817809995712,-0.036550080792905,29.646014492944072,-0.17856828383677814,-1
2025-10-04 21:05:00+07:00,-0.0129837286001144,-0.0129837286001144,-0.0129837286001144,-0.0365567985539104,25.912370956069104,20.959964886710846,17.350805760861277,9.240424343995326,47.160632449948416,32.02971105666797,10.859813886961264,47.160632449948416,0.0407258562460225,1.3138632622115416,1.6948282281119804,27.065711963740625,-0.21253843484446377,-1
2025-10-04 21:10:00+07:00,-0.0129837286001144,-0.0129837286001144,-0.0129837286001144,-0.0365567985539104,4.257897903734044,2.265867636154753,-0.022449849938108,9.240424343995326,15.698999535399144,-0.0252131546130644,0.7106973803886801,15.698999535399144,0.7083793199620636,2.548781586810651,2.8875122398603343,-0.0274645928956503,-0.1328154244552755,-1
2025-10-04 21:20:00+07:00,-0.0129837286001144,-0.0129837286001144,-0.0129837286001144,-0.0365567985539104,21.58147634560209,13.949678417752311,-0.022449849938108,27.87359203298309,-0.0318169218754922,10.659761582480614,17.10542404485208,-0.0318169218754922,1.6171026748777413,21.19524590122692,38.33792413770331,10.104942899830112,-0.21772548169129058,-1
2025-10-04 21:25:00+07:00,77.01947805587882,77.01947805587882,77.01947805587882,-0.0365567985539104,4.257897903734044,2.265867636154753,-0.022449849938108,9.240424343995326,15.698999535399144,-0.0252131546130644,4.614203729070442,15.698999535399144,0.4105946559905368,3.030757796188036,3.687513722725499,-0.0274645928956503,-0.19070956297308217,-1
2025-10-04 21:30:00+07:00,-0.0129837286001144,-0.0129837286001144,-0.0129837286001144,8.876791933789262,12.91968712466807,6.9393919487937765,-0.022449849938108,13.898716266242266,-0.0318169218754922,-0.0252131546130644,53.01768245272429,-0.0318169218754922,-0.0150569542555451,0.2677098864317913,0.4338129244173363,-0.0274645928956503,-0.17730940101553283,-1
2025-10-05 09:05:00+07:00,-0.0129837286001144,-0.0129837286001144,-0.0129837286001144,-0.0365567985539104,12.91968712466807,9.276154105113289,-0.022449849938108,13.898716266242266,-0.0318169218754922,-0.0252131546130644,6.9563075382795,-0.0318169218754922,-0.0241431419327863,-0.0270167782027994,-0.0256902562069925,-0.0274645928956503,-0.17404305911977058,-1
2025-10-05 09:15:00+07:00,-0.0129837286001144,-0.0129837286001144,-0.0129837286001144,8.876791933789262,4.257897903734044,6.9393919487937765,-0.022449849938108,-0.0761595004985594,-0.0318169218754922,-0.0252131546130644,2.272099919861385,-0.0318169218754922,-0.0254453099925823,-0.0389068717266207,-0.0397895647883936,-0.0274645928956503,-0.09300675120006097,-1
2025-10-05 09:20:00+07:00,-0.0129837286001144,-0.0129837286001144,-0.0129837286001144,-0.0365567985539104,-0.0729967067329683,-0.0708945201647584,-0.022449849938108,4.582132421748383,-0.0318169218754922,-0.0252131546130644,-0.0700038893476722,-0.0318169218754922,8.70672317699188,5.720988597239572,4.936427119887775,-0.0274645928956503,-0.015808687804610755,-1
2025-10-05 09:50:00+07:00,-0.0129837286001144,-0.0129837286001144,-0.0129837286001144,8.876791933789262,-0.0729967067329683,-0.0708945201647584,-0.022449849938108,4.582132421748383,-0.0318169218754922,-0.0252131546130644,1.4913986501250325,-0.0318169218754922,2.170207947699308,8.650847524962368,7.467655847637309,-0.0274645928956503,-0.1472171611864579,-1
2025-10-05 10:00:00+07:00,-0.0129837286001144,-0.0129837286001144,-0.0129837286001144,-0.0365567985539104,-0.0729967067329683,-0.0708945201647584,-0.022449849938108,4.582132421748383,-0.0318169218754922,-0.0252131546130644,-0.0700038893476722,-0.0318169218754922,15.284051557025272,10.059512755416923,8.684661166688581,-0.0274645928956503,-0.04478479651260325,-1
2025-10-05 10:05:00+07:00,-0.0129837286001144,-0.0129837286001144,-0.0129837286001144,-0.0365567985539104,8.588792514201057,9.276154105113289,-0.022449849938108,9.240424343995326,-0.0318169218754922,-0.0252131546130644,1.4913986501250325,-0.0318169218754922,0.1055740345638752,0.4742711190220991,0.7068527490526357,-0.0274645928956503,-0.1574846972997208,-1
2025-10-05 10:30:00+07:00,-0.0129837286001144,-0.0129837286001144,-0.0129837286001144,-0.0365567985539104,-0.0729967067329683,-0.0708945201647584,-0.022449849938108,-0.0761595004985594,-0.0318169218754922,-0.0252131546130644,5.394904998806794,-0.0318169218754922,-0.0254453099925823,-0.0389068717266207,-0.0397895647883936,-0.0274645928956503,-0.04244878405128538,-1
2025-10-05 19:40:00+07:00,-0.0129837286001144,-0.0129837286001144,-0.0129837286001144,-0.0365567985539104,12.91968712466807,9.276154105113289,-0.022449849938108,13.898716266242266,-0.0318169218754922,-0.0252131546130644,6.9563075382795,-0.0318169218754922,-0.0239803709253118,-0.0262785044219085,-0.0239278426343173,-0.0274645928956503,-0.17404305911977058,-1
