pid,user,database,event_type,session_duration_sec,query_command,query_text,timestamp
7131,postgres,postgres,FATAL,0.0,,,2025-10-04 21:02:31.111000+07:00
7131,postgres,postgres,DETAIL,0.0,,,2025-10-04 21:02:31.111000+07:00
7211,[unknown],[unknown],CONNECT_RECEIVED,0.0,,,2025-10-04 21:02:52.679000+07:00
7211,postgres,postgres,FATAL,0.0,,,2025-10-04 21:02:52.731000+07:00
7211,postgres,postgres,DETAIL,0.0,,,2025-10-04 21:02:52.731000+07:00
7212,[unknown],[unknown],CONNECT_RECEIVED,0.0,,,2025-10-04 21:02:52.734000+07:00
7212,postgres,postgres,FATAL,0.0,,,2025-10-04 21:02:52.760000+07:00
7212,postgres,postgres,DETAIL,0.0,,,2025-10-04 21:02:52.760000+07:00
7216,[unknown],[unknown],CONNECT_RECEIVED,0.0,,,2025-10-04 21:03:01.384000+07:00
7216,postgres,postgres,FATAL,0.0,,,2025-10-04 21:03:01.410000+07:00
7216,postgres,postgres,DETAIL,0.0,,,2025-10-04 21:03:01.410000+07:00
7217,[unknown],[unknown],CONNECT_RECEIVED,0.0,,,2025-10-04 21:03:01.418000+07:00
7217,postgres,postgres,FATAL,0.0,,,2025-10-04 21:03:01.423000+07:00
7217,postgres,postgres,DETAIL,0.0,,,2025-10-04 21:03:01.423000+07:00
7221,[unknown],[unknown],CONNECT_RECEIVED,0.0,,,2025-10-04 21:03:08.850000+07:00
7221,postgres,postgres,FATAL,0.0,,,2025-10-04 21:03:08.885000+07:00
7221,postgres,postgres,DETAIL,0.0,,,2025-10-04 21:03:08.885000+07:00
7222,[unknown],[unknown],CONNECT_RECEIVED,0.0,,,2025-10-04 21:03:08.895000+07:00
7222,postgres,postgres,FATAL,0.0,,,2025-10-04 21:03:08.900000+07:00
7222,postgres,postgres,DETAIL,0.0,,,2025-10-04 21:03:08.900000+07:00
7257,[unknown],[unknown],CONNECT_RECEIVED,0.0,,,2025-10-04 21:03:20.539000+07:00
7257,postgres,postgres,LOG,0.0,,,2025-10-04 21:03:20.551000+07:00
7257,postgres,postgres,CONNECT_AUTHORIZED,0.0,,,2025-10-04 21:03:20.551000+07:00
7270,[unknown],[unknown],CONNECT_RECEIVED,0.0,,,2025-10-04 21:03:25.064000+07:00
7271,[unknown],[unknown],CONNECT_RECEIVED,0.0,,,2025-10-04 21:03:25.069000+07:00
7271,postgres,testdb,LOG,0.0,,,2025-10-04 21:03:25.087000+07:00
7271,postgres,testdb,CONNECT_AUTHORIZED,0.0,,,2025-10-04 21:03:25.087000+07:00
7270,postgres,testdb,LOG,0.0,,,2025-10-04 21:03:25.114000+07:00
7270,postgres,testdb,CONNECT_AUTHORIZED,0.0,,,2025-10-04 21:03:25.114000+07:00
7271,postgres,testdb,DISCONNECT,0.166,,,2025-10-04 21:03:25.235000+07:00
7320,[unknown],[unknown],CONNECT_RECEIVED,0.0,,,2025-10-04 21:03:41.766000+07:00
7320,posgres,posgres,LOG,0.0,,,2025-10-04 21:03:41.767000+07:00
7320,posgres,posgres,LOG,0.0,,,2025-10-04 21:03:41.767000+07:00
7320,posgres,posgres,FATAL,0.0,,,2025-10-04 21:03:41.767000+07:00
7320,posgres,posgres,DETAIL,0.0,,,2025-10-04 21:03:41.767000+07:00
7323,[unknown],[unknown],CONNECT_RECEIVED,0.0,,,2025-10-04 21:03:49.373000+07:00
7323,postgres,postgres,LOG,0.0,,,2025-10-04 21:03:49.374000+07:00
7323,postgres,postgres,LOG,0.0,,,2025-10-04 21:03:49.374000+07:00
7323,postgres,postgres,FATAL,0.0,,,2025-10-04 21:03:49.374000+07:00
7323,postgres,postgres,DETAIL,0.0,,,2025-10-04 21:03:49.374000+07:00
7356,[unknown],[unknown],CONNECT_RECEIVED,0.0,,,2025-10-04 21:05:30.005000+07:00
7356,postgres,postgres,LOG,0.0,,,2025-10-04 21:05:30.007000+07:00
7356,postgres,postgres,LOG,0.0,,,2025-10-04 21:05:30.007000+07:00
7356,postgres,postgres,FATAL,0.0,,,2025-10-04 21:05:30.007000+07:00
7356,postgres,postgres,DETAIL,0.0,,,2025-10-04 21:05:30.007000+07:00
