pid,user,database,event_type,session_duration_sec,query_command,query_text,timestamp
7211,postgres,postgres,FATAL,0.0,,,2025-10-04 21:02:52.731+07
7211,postgres,postgres,DETAIL,0.0,,,2025-10-04 21:02:52.731+07
7212,[unknown],[unknown],CONNECT_RECEIVED,0.0,,,2025-10-04 21:02:52.734+07
7212,postgres,postgres,FATAL,0.0,,,2025-10-04 21:02:52.760+07
7212,postgres,postgres,DETAIL,0.0,,,2025-10-04 21:02:52.760+07
7216,[unknown],[unknown],CONNECT_RECEIVED,0.0,,,2025-10-04 21:03:01.384+07
7216,postgres,postgres,FATAL,0.0,,,2025-10-04 21:03:01.410+07
7216,postgres,postgres,DETAIL,0.0,,,2025-10-04 21:03:01.410+07
7217,[unknown],[unknown],CONNECT_RECEIVED,0.0,,,2025-10-04 21:03:01.418+07
7217,postgres,postgres,FATAL,0.0,,,2025-10-04 21:03:01.423+07
7217,postgres,postgres,DETAIL,0.0,,,2025-10-04 21:03:01.423+07
7221,[unknown],[unknown],CONNECT_RECEIVED,0.0,,,2025-10-04 21:03:08.850+07
7221,postgres,postgres,FATAL,0.0,,,2025-10-04 21:03:08.885+07
7221,postgres,postgres,DETAIL,0.0,,,2025-10-04 21:03:08.885+07
7222,[unknown],[unknown],CONNECT_RECEIVED,0.0,,,2025-10-04 21:03:08.895+07
7222,postgres,postgres,FATAL,0.0,,,2025-10-04 21:03:08.900+07
7222,postgres,postgres,DETAIL,0.0,,,2025-10-04 21:03:08.900+07
7257,[unknown],[unknown],CONNECT_RECEIVED,0.0,,,2025-10-04 21:03:20.539+07
7257,postgres,postgres,LOG,0.0,,,2025-10-04 21:03:20.551+07
7257,postgres,postgres,CONNECT_AUTHORIZED,0.0,,,2025-10-04 21:03:20.551+07
7270,[unknown],[unknown],CONNECT_RECEIVED,0.0,,,2025-10-04 21:03:25.064+07
7271,[unknown],[unknown],CONNECT_RECEIVED,0.0,,,2025-10-04 21:03:25.069+07
7271,postgres,testdb,LOG,0.0,,,2025-10-04 21:03:25.087+07
7271,postgres,testdb,CONNECT_AUTHORIZED,0.0,,,2025-10-04 21:03:25.087+07
7270,postgres,testdb,LOG,0.0,,,2025-10-04 21:03:25.114+07
7270,postgres,testdb,CONNECT_AUTHORIZED,0.0,,,2025-10-04 21:03:25.114+07
7271,postgres,testdb,DISCONNECT,0.166,,,2025-10-04 21:03:25.235+07
7320,[unknown],[unknown],CONNECT_RECEIVED,0.0,,,2025-10-04 21:03:41.766+07
7320,posgres,posgres,LOG,0.0,,,2025-10-04 21:03:41.767+07
7320,posgres,posgres,LOG,0.0,,,2025-10-04 21:03:41.767+07
7320,posgres,posgres,FATAL,0.0,,,2025-10-04 21:03:41.767+07
7320,posgres,posgres,DETAIL,0.0,,,2025-10-04 21:03:41.767+07
7323,[unknown],[unknown],CONNECT_RECEIVED,0.0,,,2025-10-04 21:03:49.373+07
7323,postgres,postgres,LOG,0.0,,,2025-10-04 21:03:49.374+07
7323,postgres,postgres,LOG,0.0,,,2025-10-04 21:03:49.374+07
7323,postgres,postgres,FATAL,0.0,,,2025-10-04 21:03:49.374+07
7323,postgres,postgres,DETAIL,0.0,,,2025-10-04 21:03:49.374+07
