Anomaly_Time_Window,Anomaly_Score,pid,user,database,event_type,session_duration_sec,query_command,query_text,timestamp
2025-10-04 20:59:00+07:00,-0.2097672348409602,7016,postgres,template1,CONNECT_AUTHORIZED,0.0,,,2025-10-04 20:59:27.268000+07:00
2025-10-04 20:59:00+07:00,-0.2097672348409602,7016,postgres,template1,DISCONNECT,0.083,,,2025-10-04 20:59:27.344000+07:00
2025-10-04 20:59:00+07:00,-0.2097672348409602,7019,postgres,template1,CONNECT_AUTHORIZED,0.0,,,2025-10-04 20:59:27.882000+07:00
2025-10-04 20:59:00+07:00,-0.2097672348409602,7019,postgres,template1,DISCONNECT,0.016,,,2025-10-04 20:59:27.892000+07:00
2025-10-04 20:59:00+07:00,-0.2097672348409602,7022,postgres,template1,CONNECT_AUTHORIZED,0.0,,,2025-10-04 20:59:28.416000+07:00
2025-10-04 20:59:00+07:00,-0.2097672348409602,7022,postgres,template1,DISCONNECT,0.008,,,2025-10-04 20:59:28.424000+07:00
2025-10-04 21:02:00+07:00,-0.209307203003888,7118,postgres,template1,CONNECT_AUTHORIZED,0.0,,,2025-10-04 21:02:20.364000+07:00
2025-10-04 21:02:00+07:00,-0.209307203003888,7118,postgres,template1,DISCONNECT,0.02,,,2025-10-04 21:02:20.382000+07:00
2025-10-04 21:02:00+07:00,-0.209307203003888,7121,postgres,template1,CONNECT_AUTHORIZED,0.0,,,2025-10-04 21:02:20.916000+07:00
2025-10-04 21:02:00+07:00,-0.209307203003888,7121,postgres,template1,DISCONNECT,0.003,,,2025-10-04 21:02:20.918000+07:00
2025-10-04 21:02:00+07:00,-0.209307203003888,7124,postgres,template1,CONNECT_AUTHORIZED,0.0,,,2025-10-04 21:02:21.441000+07:00
2025-10-04 21:02:00+07:00,-0.209307203003888,7124,postgres,template1,DISCONNECT,0.004,,,2025-10-04 21:02:21.444000+07:00
2025-10-04 21:03:00+07:00,-0.2050690070469958,7257,postgres,postgres,CONNECT_AUTHORIZED,0.0,,,2025-10-04 21:03:20.551000+07:00
2025-10-04 21:03:00+07:00,-0.2050690070469958,7271,postgres,testdb,CONNECT_AUTHORIZED,0.0,,,2025-10-04 21:03:25.087000+07:00
2025-10-04 21:03:00+07:00,-0.2050690070469958,7270,postgres,testdb,CONNECT_AUTHORIZED,0.0,,,2025-10-04 21:03:25.114000+07:00
2025-10-04 21:03:00+07:00,-0.2050690070469958,7271,postgres,testdb,DISCONNECT,0.166,,,2025-10-04 21:03:25.235000+07:00
2025-10-04 21:05:30+07:00,-0.175833090196386,7391,root,root,CONNECT_AUTHORIZED,0.0,,,2025-10-04 21:05:58.798000+07:00
2025-10-04 21:07:00+07:00,-0.1803245055692821,7505,postgres,hodaoty,CONNECT_AUTHORIZED,0.0,,,2025-10-04 21:07:12.680000+07:00
2025-10-04 21:07:00+07:00,-0.1803245055692821,7510,postgres,postgres,CONNECT_AUTHORIZED,0.0,,,2025-10-04 21:07:22.548000+07:00
2025-10-04 21:08:00+07:00,-0.1829749502412929,7557,postgres,postgres,CONNECT_AUTHORIZED,0.0,,,2025-10-04 21:08:18.793000+07:00
2025-10-04 21:08:00+07:00,-0.1829749502412929,7557,postgres,postgres,ERROR,0.0,,,2025-10-04 21:08:25.718000+07:00
2025-10-04 21:10:30+07:00,-0.1638300101009026,7607,postgres,postgres,DISCONNECT,41.209,,,2025-10-04 21:10:38.904000+07:00
2025-10-04 21:10:30+07:00,-0.1638300101009026,7631,postgres,testdb,CONNECT_AUTHORIZED,0.0,,,2025-10-04 21:10:44.192000+07:00
2025-10-04 21:21:30+07:00,-0.2326583109980023,7270,postgres,testdb,DISCONNECT,1088.403,,,2025-10-04 21:21:33.467000+07:00
2025-10-04 21:21:30+07:00,-0.2326583109980023,7257,postgres,postgres,DISCONNECT,1092.952,,,2025-10-04 21:21:33.491000+07:00
2025-10-04 21:21:30+07:00,-0.2326583109980023,7942,postgres,template1,CONNECT_AUTHORIZED,0.0,,,2025-10-04 21:21:35.462000+07:00
2025-10-04 21:21:30+07:00,-0.2326583109980023,7942,postgres,template1,DISCONNECT,0.101,,,2025-10-04 21:21:35.556000+07:00
2025-10-04 21:21:30+07:00,-0.2326583109980023,7945,postgres,template1,CONNECT_AUTHORIZED,0.0,,,2025-10-04 21:21:36.085000+07:00
2025-10-04 21:21:30+07:00,-0.2326583109980023,7945,postgres,template1,DISCONNECT,0.013,,,2025-10-04 21:21:36.093000+07:00
2025-10-04 21:21:30+07:00,-0.2326583109980023,7948,postgres,template1,CONNECT_AUTHORIZED,0.0,,,2025-10-04 21:21:36.619000+07:00
2025-10-04 21:21:30+07:00,-0.2326583109980023,7948,postgres,template1,DISCONNECT,0.004,,,2025-10-04 21:21:36.623000+07:00
2025-10-04 21:21:30+07:00,-0.2326583109980023,7956,postgres,postgres,CONNECT_AUTHORIZED,0.0,,,2025-10-04 21:21:50.975000+07:00
2025-10-04 21:23:30+07:00,-0.1735405555832112,7979,postgres,auditdb,CONNECT_AUTHORIZED,0.0,,,2025-10-04 21:23:35.936000+07:00
2025-10-04 21:23:30+07:00,-0.1735405555832112,7956,postgres,postgres,DISCONNECT,104.971,,,2025-10-04 21:23:35.945000+07:00
2025-10-04 21:28:00+07:00,-0.1581786469678834,8047,audituser,auditdb,DISCONNECT,64.063,,,2025-10-04 21:28:24.231000+07:00
2025-10-04 21:33:30+07:00,-0.2268652371077129,8256,postgres,postgres,CONNECT_AUTHORIZED,0.0,,,2025-10-04 21:33:42.041000+07:00
2025-10-04 21:33:30+07:00,-0.2268652371077129,8261,postgres,auditdb,CONNECT_AUTHORIZED,0.0,,,2025-10-04 21:33:45.414000+07:00
2025-10-04 21:33:30+07:00,-0.2268652371077129,8262,postgres,auditdb,CONNECT_AUTHORIZED,0.0,,,2025-10-04 21:33:45.421000+07:00
2025-10-04 21:33:30+07:00,-0.2268652371077129,8261,postgres,auditdb,DISCONNECT,0.088,,,2025-10-04 21:33:45.478000+07:00
2025-10-04 21:33:30+07:00,-0.2268652371077129,8262,postgres,auditdb,DISCONNECT,12.346,,,2025-10-04 21:33:57.745000+07:00
2025-10-04 21:33:30+07:00,-0.2268652371077129,8256,postgres,postgres,DISCONNECT,15.782,,,2025-10-04 21:33:57.750000+07:00
2025-10-05 09:05:30+07:00,-0.2206485129139591,1124,postgres,template1,CONNECT_AUTHORIZED,0.0,,,2025-10-05 09:05:53.783000+07:00
2025-10-05 09:05:30+07:00,-0.2206485129139591,1124,postgres,template1,DISCONNECT,0.612,,,2025-10-05 09:05:54.333000+07:00
2025-10-05 09:05:30+07:00,-0.2206485129139591,1161,postgres,template1,CONNECT_AUTHORIZED,0.0,,,2025-10-05 09:05:55.132000+07:00
2025-10-05 09:05:30+07:00,-0.2206485129139591,1161,postgres,template1,DISCONNECT,0.131,,,2025-10-05 09:05:55.195000+07:00
