Anomaly_Time_Window,Anomaly_Score,pid,user,database,event_type,session_duration_sec,query_command,query_text,timestamp
2025-10-04 20:59:00+07:00,-0.220998960902118,7016,postgres,template1,CONNECT_AUTHORIZED,0.0,,,2025-10-04 20:59:27.268000+07:00
2025-10-04 20:59:00+07:00,-0.220998960902118,7016,postgres,template1,DISCONNECT,0.083,,,2025-10-04 20:59:27.344000+07:00
2025-10-04 20:59:00+07:00,-0.220998960902118,7019,postgres,template1,CONNECT_AUTHORIZED,0.0,,,2025-10-04 20:59:27.882000+07:00
2025-10-04 20:59:00+07:00,-0.220998960902118,7019,postgres,template1,DISCONNECT,0.016,,,2025-10-04 20:59:27.892000+07:00
2025-10-04 20:59:00+07:00,-0.220998960902118,7022,postgres,template1,CONNECT_AUTHORIZED,0.0,,,2025-10-04 20:59:28.416000+07:00
2025-10-04 20:59:00+07:00,-0.220998960902118,7022,postgres,template1,DISCONNECT,0.008,,,2025-10-04 20:59:28.424000+07:00
2025-10-04 20:59:00+07:00,-0.220998960902118,7016,postgres,template1,CONNECT_AUTHORIZED,0.0,,,2025-10-04 20:59:27.268000+07:00
2025-10-04 20:59:00+07:00,-0.220998960902118,7016,postgres,template1,DISCONNECT,0.083,,,2025-10-04 20:59:27.344000+07:00
2025-10-04 20:59:00+07:00,-0.220998960902118,7019,postgres,template1,CONNECT_AUTHORIZED,0.0,,,2025-10-04 20:59:27.882000+07:00
2025-10-04 20:59:00+07:00,-0.220998960902118,7019,postgres,template1,DISCONNECT,0.016,,,2025-10-04 20:59:27.892000+07:00
2025-10-04 20:59:00+07:00,-0.220998960902118,7022,postgres,template1,CONNECT_AUTHORIZED,0.0,,,2025-10-04 20:59:28.416000+07:00
2025-10-04 20:59:00+07:00,-0.220998960902118,7022,postgres,template1,DISCONNECT,0.008,,,2025-10-04 20:59:28.424000+07:00
2025-10-04 21:02:00+07:00,-0.2305556526997003,7118,postgres,template1,CONNECT_AUTHORIZED,0.0,,,2025-10-04 21:02:20.364000+07:00
2025-10-04 21:02:00+07:00,-0.2305556526997003,7118,postgres,template1,DISCONNECT,0.02,,,2025-10-04 21:02:20.382000+07:00
2025-10-04 21:02:00+07:00,-0.2305556526997003,7121,postgres,template1,CONNECT_AUTHORIZED,0.0,,,2025-10-04 21:02:20.916000+07:00
2025-10-04 21:02:00+07:00,-0.2305556526997003,7121,postgres,template1,DISCONNECT,0.003,,,2025-10-04 21:02:20.918000+07:00
2025-10-04 21:02:00+07:00,-0.2305556526997003,7124,postgres,template1,CONNECT_AUTHORIZED,0.0,,,2025-10-04 21:02:21.441000+07:00
2025-10-04 21:02:00+07:00,-0.2305556526997003,7124,postgres,template1,DISCONNECT,0.004,,,2025-10-04 21:02:21.444000+07:00
2025-10-04 21:02:00+07:00,-0.2305556526997003,7118,postgres,template1,CONNECT_AUTHORIZED,0.0,,,2025-10-04 21:02:20.364000+07:00
2025-10-04 21:02:00+07:00,-0.2305556526997003,7118,postgres,template1,DISCONNECT,0.02,,,2025-10-04 21:02:20.382000+07:00
2025-10-04 21:02:00+07:00,-0.2305556526997003,7121,postgres,template1,CONNECT_AUTHORIZED,0.0,,,2025-10-04 21:02:20.916000+07:00
2025-10-04 21:02:00+07:00,-0.2305556526997003,7121,postgres,template1,DISCONNECT,0.003,,,2025-10-04 21:02:20.918000+07:00
2025-10-04 21:02:00+07:00,-0.2305556526997003,7124,postgres,template1,CONNECT_AUTHORIZED,0.0,,,2025-10-04 21:02:21.441000+07:00
2025-10-04 21:02:00+07:00,-0.2305556526997003,7124,postgres,template1,DISCONNECT,0.004,,,2025-10-04 21:02:21.444000+07:00
2025-10-04 21:03:00+07:00,-0.2143331698324291,7257,postgres,postgres,CONNECT_AUTHORIZED,0.0,,,2025-10-04 21:03:20.551000+07:00
2025-10-04 21:03:00+07:00,-0.2143331698324291,7271,postgres,testdb,CONNECT_AUTHORIZED,0.0,,,2025-10-04 21:03:25.087000+07:00
2025-10-04 21:03:00+07:00,-0.2143331698324291,7270,postgres,testdb,CONNECT_AUTHORIZED,0.0,,,2025-10-04 21:03:25.114000+07:00
2025-10-04 21:03:00+07:00,-0.2143331698324291,7271,postgres,testdb,DISCONNECT,0.166,,,2025-10-04 21:03:25.235000+07:00
2025-10-04 21:03:00+07:00,-0.2143331698324291,7257,postgres,postgres,CONNECT_AUTHORIZED,0.0,,,2025-10-04 21:03:20.551000+07:00
2025-10-04 21:03:00+07:00,-0.2143331698324291,7271,postgres,testdb,CONNECT_AUTHORIZED,0.0,,,2025-10-04 21:03:25.087000+07:00
2025-10-04 21:03:00+07:00,-0.2143331698324291,7270,postgres,testdb,CONNECT_AUTHORIZED,0.0,,,2025-10-04 21:03:25.114000+07:00
2025-10-04 21:03:00+07:00,-0.2143331698324291,7271,postgres,testdb,DISCONNECT,0.166,,,2025-10-04 21:03:25.235000+07:00
2025-10-04 21:05:30+07:00,-0.1904687055225506,7391,root,root,CONNECT_AUTHORIZED,0.0,,,2025-10-04 21:05:58.798000+07:00
2025-10-04 21:05:30+07:00,-0.1904687055225506,7391,root,root,CONNECT_AUTHORIZED,0.0,,,2025-10-04 21:05:58.798000+07:00
2025-10-04 21:06:00+07:00,-0.1500845025938506,7474,hodaoty,hodaoty,CONNECT_AUTHORIZED,0.0,,,2025-10-04 21:06:10.472000+07:00
2025-10-04 21:06:00+07:00,-0.1500845025938506,7474,hodaoty,hodaoty,CONNECT_AUTHORIZED,0.0,,,2025-10-04 21:06:10.472000+07:00
2025-10-04 21:07:00+07:00,-0.1855108146610554,7505,postgres,hodaoty,CONNECT_AUTHORIZED,0.0,,,2025-10-04 21:07:12.680000+07:00
2025-10-04 21:07:00+07:00,-0.1855108146610554,7510,postgres,postgres,CONNECT_AUTHORIZED,0.0,,,2025-10-04 21:07:22.548000+07:00
2025-10-04 21:07:00+07:00,-0.1855108146610554,7505,postgres,hodaoty,CONNECT_AUTHORIZED,0.0,,,2025-10-04 21:07:12.680000+07:00
2025-10-04 21:07:00+07:00,-0.1855108146610554,7510,postgres,postgres,CONNECT_AUTHORIZED,0.0,,,2025-10-04 21:07:22.548000+07:00
