Anomaly_Time_Window,Anomaly_Score,pid,user,database,event_type,session_duration_sec,query_command,query_text,timestamp
2025-10-04 20:55:00+07:00,-0.1673839942062288,7013,[unknown],[unknown],CONNECT_RECEIVED,0.0,,,2025-10-04 20:59:26.710000+07:00
2025-10-04 20:55:00+07:00,-0.1673839942062288,7016,[unknown],[unknown],CONNECT_RECEIVED,0.0,,,2025-10-04 20:59:27.262000+07:00
2025-10-04 20:55:00+07:00,-0.1673839942062288,7016,postgres,template1,CONNECT_AUTHORIZED,0.0,,,2025-10-04 20:59:27.268000+07:00
2025-10-04 20:55:00+07:00,-0.1673839942062288,7016,postgres,template1,DISCONNECT,0.083,,,2025-10-04 20:59:27.344000+07:00
2025-10-04 20:55:00+07:00,-0.1673839942062288,7019,[unknown],[unknown],CONNECT_RECEIVED,0.0,,,2025-10-04 20:59:27.876000+07:00
2025-10-04 20:55:00+07:00,-0.1673839942062288,7019,postgres,template1,CONNECT_AUTHORIZED,0.0,,,2025-10-04 20:59:27.882000+07:00
2025-10-04 20:55:00+07:00,-0.1673839942062288,7019,postgres,template1,DISCONNECT,0.016,,,2025-10-04 20:59:27.892000+07:00
2025-10-04 20:55:00+07:00,-0.1673839942062288,7022,[unknown],[unknown],CONNECT_RECEIVED,0.0,,,2025-10-04 20:59:28.415000+07:00
2025-10-04 20:55:00+07:00,-0.1673839942062288,7022,postgres,template1,CONNECT_AUTHORIZED,0.0,,,2025-10-04 20:59:28.416000+07:00
2025-10-04 20:55:00+07:00,-0.1673839942062288,7022,postgres,template1,DISCONNECT,0.008,,,2025-10-04 20:59:28.424000+07:00
2025-10-04 20:55:00+07:00,-0.1673839942062288,7025,[unknown],[unknown],CONNECT_RECEIVED,0.0,,,2025-10-04 20:59:40.209000+07:00
2025-10-04 20:55:00+07:00,-0.1673839942062288,7025,posgres,hodaoty,FATAL,0.0,,,2025-10-04 20:59:40.211000+07:00
2025-10-04 20:55:00+07:00,-0.1673839942062288,7031,[unknown],[unknown],CONNECT_RECEIVED,0.0,,,2025-10-04 20:59:49.319000+07:00
2025-10-04 20:55:00+07:00,-0.1673839942062288,7031,postgres,hodaoty,FATAL,0.0,,,2025-10-04 20:59:49.320000+07:00
2025-10-04 21:00:00+07:00,-0.1785682838367781,7048,[unknown],[unknown],CONNECT_RECEIVED,0.0,,,2025-10-04 21:00:08.376000+07:00
2025-10-04 21:00:00+07:00,-0.1785682838367781,7048,postgres,postgres,FATAL,0.0,,,2025-10-04 21:00:08.377000+07:00
2025-10-04 21:00:00+07:00,-0.1785682838367781,7068,[unknown],[unknown],CONNECT_RECEIVED,0.0,,,2025-10-04 21:01:04.963000+07:00
2025-10-04 21:00:00+07:00,-0.1785682838367781,7068,postgres,postgres,FATAL,0.0,,,2025-10-04 21:01:04.967000+07:00
2025-10-04 21:00:00+07:00,-0.1785682838367781,7115,[unknown],[unknown],CONNECT_RECEIVED,0.0,,,2025-10-04 21:02:19.825000+07:00
2025-10-04 21:00:00+07:00,-0.1785682838367781,7118,[unknown],[unknown],CONNECT_RECEIVED,0.0,,,2025-10-04 21:02:20.362000+07:00
2025-10-04 21:00:00+07:00,-0.1785682838367781,7118,postgres,template1,CONNECT_AUTHORIZED,0.0,,,2025-10-04 21:02:20.364000+07:00
2025-10-04 21:00:00+07:00,-0.1785682838367781,7118,postgres,template1,DISCONNECT,0.02,,,2025-10-04 21:02:20.382000+07:00
2025-10-04 21:00:00+07:00,-0.1785682838367781,7121,[unknown],[unknown],CONNECT_RECEIVED,0.0,,,2025-10-04 21:02:20.914000+07:00
2025-10-04 21:00:00+07:00,-0.1785682838367781,7121,postgres,template1,CONNECT_AUTHORIZED,0.0,,,2025-10-04 21:02:20.916000+07:00
2025-10-04 21:00:00+07:00,-0.1785682838367781,7121,postgres,template1,DISCONNECT,0.003,,,2025-10-04 21:02:20.918000+07:00
2025-10-04 21:00:00+07:00,-0.1785682838367781,7124,[unknown],[unknown],CONNECT_RECEIVED,0.0,,,2025-10-04 21:02:21.440000+07:00
2025-10-04 21:00:00+07:00,-0.1785682838367781,7124,postgres,template1,CONNECT_AUTHORIZED,0.0,,,2025-10-04 21:02:21.441000+07:00
2025-10-04 21:00:00+07:00,-0.1785682838367781,7124,postgres,template1,DISCONNECT,0.004,,,2025-10-04 21:02:21.444000+07:00
2025-10-04 21:00:00+07:00,-0.1785682838367781,7129,[unknown],[unknown],CONNECT_RECEIVED,0.0,,,2025-10-04 21:02:25.728000+07:00
2025-10-04 21:00:00+07:00,-0.1785682838367781,7129,postgres,hodaoty,FATAL,0.0,,,2025-10-04 21:02:25.728000+07:00
2025-10-04 21:00:00+07:00,-0.1785682838367781,7131,[unknown],[unknown],CONNECT_RECEIVED,0.0,,,2025-10-04 21:02:31.106000+07:00
2025-10-04 21:00:00+07:00,-0.1785682838367781,7131,postgres,postgres,FATAL,0.0,,,2025-10-04 21:02:31.111000+07:00
2025-10-04 21:00:00+07:00,-0.1785682838367781,7211,[unknown],[unknown],CONNECT_RECEIVED,0.0,,,2025-10-04 21:02:52.679000+07:00
2025-10-04 21:00:00+07:00,-0.1785682838367781,7211,postgres,postgres,FATAL,0.0,,,2025-10-04 21:02:52.731000+07:00
2025-10-04 21:00:00+07:00,-0.1785682838367781,7212,[unknown],[unknown],CONNECT_RECEIVED,0.0,,,2025-10-04 21:02:52.734000+07:00
2025-10-04 21:00:00+07:00,-0.1785682838367781,7212,postgres,postgres,FATAL,0.0,,,2025-10-04 21:02:52.760000+07:00
